,x,addr,square,triangle,ramp,sine
0,0,000000,0,0,0,0
1,1,000001,0,7,3,1
2,2,000010,0,15,7,2
3,3,000011,0,23,11,5
4,4,000100,0,31,15,10
5,5,000101,0,39,19,15
6,6,000110,0,47,23,21
7,7,000111,0,55,27,29
8,8,001000,0,63,31,37
9,9,001001,0,71,35,47
10,10,001010,0,79,39,57
11,11,001011,0,87,43,67
12,12,001100,0,95,47,79
13,13,001101,0,103,51,90
14,14,001110,0,111,55,103
15,15,001111,0,119,59,115
16,16,010000,0,127,63,128
17,17,010001,0,135,67,140
18,18,010010,0,143,71,152
19,19,010011,0,151,75,165
20,20,010100,0,159,79,176
21,21,010101,0,167,83,188
22,22,010110,0,175,87,198
23,23,010111,0,183,91,208
24,24,011000,0,191,95,218
25,25,011001,0,199,99,226
26,26,011010,0,207,103,234
27,27,011011,0,215,107,240
28,28,011100,0,223,111,245
29,29,011101,0,231,115,250
30,30,011110,0,239,119,253
31,31,011111,0,247,123,254
32,32,100000,255,255,127,255
33,33,100001,255,247,131,254
34,34,100010,255,239,135,253
35,35,100011,255,231,139,250
36,36,100100,255,223,143,245
37,37,100101,255,215,147,240
38,38,100110,255,207,151,234
39,39,100111,255,199,155,226
40,40,101000,255,191,159,218
41,41,101001,255,183,163,208
42,42,101010,255,175,167,198
43,43,101011,255,167,171,188
44,44,101100,255,159,175,176
45,45,101101,255,151,179,165
46,46,101110,255,143,183,152
47,47,101111,255,135,187,140
48,48,110000,255,127,191,128
49,49,110001,255,119,195,115
50,50,110010,255,111,199,103
51,51,110011,255,103,203,90
52,52,110100,255,95,207,79
53,53,110101,255,87,211,67
54,54,110110,255,79,215,57
55,55,110111,255,71,219,47
56,56,111000,255,63,223,37
57,57,111001,255,55,227,29
58,58,111010,255,47,231,21
59,59,111011,255,39,235,15
60,60,111100,255,31,239,10
61,61,111101,255,23,243,5
62,62,111110,255,15,247,2
63,63,111111,255,7,251,1
